"ID","MB","MGE","IOA","Var","Type","LON","LAT","IOA_cut"
"PE111583",0.22,0.8,0.67,"Tmax","Available data",-75.9887777777778,-11.1432777777778,".6 - .7"
"PE111583",0.04,1.19,0.69,"Tmin","Available data",-75.9887777777778,-11.1432777777778,".6 - .7"
"PE112012",0.23,1.37,0.7,"Tmin","Available data",-74.8841388888889,-12.4020277777778,".7 - .8"
"PE112012",0.2,0.73,0.71,"Tmax","Available data",-74.8841388888889,-12.4020277777778,".7 - .8"
"PE112028",0.08,1.03,0.7,"Tmin","Available data",-75.4317777777778,-12.1245277777778,".7 - .8"
"PE112028",0.14,0.86,0.69,"Tmax","Available data",-75.4317777777778,-12.1245277777778,".6 - .7"
"PE112036",0.14,1.64,0.59,"Tmax","Available data",-72.6917388888889,-12.85645,".5 - .6"
"PE112037",0.17,0.92,0.69,"Tmax","Available data",-75.2283055555556,-12.1560277777778,".6 - .7"
"PE112037",0.1,1.11,0.7,"Tmin","Available data",-75.2283055555556,-12.1560277777778,".7 - .8"
"PE112044",0.01,0.25,0.89,"Tmin","Available data",-77.04254,-12.07924,".8 - .9"
"PE112044",0.31,0.38,0.86,"Tmax","Available data",-77.04254,-12.07924,".8 - .9"
"PE112051",0.03,0.89,0.67,"Tmax","Available data",-75.05725,-12.3607777777778,".6 - .7"
"PE112051",0.03,1.57,0.61,"Tmin","Available data",-75.05725,-12.3607777777778,".6 - .7"
"PE112054",0.24,1.1,0.6,"Tmax","Available data",-76.4931388888889,-12.5216944444444,".6 - .7"
"PE112054",0.05,0.65,0.64,"Tmin","Available data",-76.4931388888889,-12.5216944444444,".6 - .7"
"PE112055",0.31,1.07,0.61,"Tmax","Available data",-76.2342944444444,-12.1388555555556,".6 - .7"
"PE112055",0.15,0.92,0.57,"Tmin","Available data",-76.2342944444444,-12.1388555555556,".5 - .6"
"PE112056",0.04,1.14,0.71,"Tmin","Available data",-75.3205,-12.0401944444444,".7 - .8"
"PE112056",0.24,1.55,0.6,"Tmin","10-years data",-75.3205,-12.0401944444444,".6 - .7"
"PE112056",0.09,1.05,0.65,"Tmax","10-years data",-75.3205,-12.0401944444444,".6 - .7"
"PE112056",-0.01,0.84,0.71,"Tmax","Available data",-75.3205,-12.0401944444444,".7 - .8"
"PE112058",0.09,0.89,0.57,"Tmin","Available data",-76.0579277777778,-12.8668916666667,".5 - .6"
"PE112058",0.16,1.01,0.64,"Tmax","Available data",-76.0579277777778,-12.8668916666667,".6 - .7"
"PE112059",0.18,1.03,0.58,"Tmax","Available data",-75.3605277777778,-12.2522777777778,".5 - .6"
"PE112059",-0.2,2.04,0.58,"Tmin","Available data",-75.3605277777778,-12.2522777777778,".5 - .6"
"PE112065",0.12,0.95,0.71,"Tmax","Available data",-74.7180833333333,-12.9819444444444,".7 - .8"
"PE112065",0.05,1.13,0.65,"Tmin","Available data",-74.7180833333333,-12.9819444444444,".6 - .7"
"PE112067",0.18,1.04,0.67,"Tmax","Available data",-74.5616111111111,-12.8436111111111,".6 - .7"
"PE112067",0.09,0.77,0.62,"Tmin","Available data",-74.5616111111111,-12.8436111111111,".6 - .7"
"PE112083",0.1,0.98,0.7,"Tmax","Available data",-75.2215833333333,-12.0095555555556,".7 - .8"
"PE112083",0.07,0.98,0.74,"Tmin","Available data",-75.2215833333333,-12.0095555555556,".7 - .8"
"PE112142",0.07,1.15,0.55,"Tmin","Available data",-75.2417777777778,-12.5803055555555,".5 - .6"
"PE112154",0.4,1.38,0.65,"Tmax","Available data",-72.2836111111111,-12.6836111111111,".6 - .7"
"PE112154",0.14,0.89,0.59,"Tmin","Available data",-72.2836111111111,-12.6836111111111,".5 - .6"
"PE112163",0.28,1.14,0.66,"Tmax","Available data",-74.6668055555556,-12.4147222222222,".6 - .7"
"PE112163",0.11,0.74,0.63,"Tmin","Available data",-74.6668055555556,-12.4147222222222,".6 - .7"
"PE112171",-0.55,0.98,0.65,"Tmax","10-years data",-77.0431666666667,-12.0705277777778,".6 - .7"
"PE112171",0.04,0.43,0.78,"Tmin","Available data",-77.0431666666667,-12.0705277777778,".7 - .8"
"PE112171",0.03,0.65,0.76,"Tmax","Available data",-77.0431666666667,-12.0705277777778,".7 - .8"
"PE112171",-0.5,0.75,0.65,"Tmin","10-years data",-77.0431666666667,-12.0705277777778,".6 - .7"
"PE113006",-0.15,0.92,0.62,"Tmin","Available data",-76.3304194444445,-13.07475,".6 - .7"
"PE113006",-0.1,1.02,0.64,"Tmax","Available data",-76.3304194444445,-13.07475,".6 - .7"
"PE113010",0.01,1.05,0.56,"Tmin","Available data",-75.6070361111111,-13.843,".5 - .6"
"PE113010",0.18,0.85,0.7,"Tmax","Available data",-75.6070361111111,-13.843,".7 - .8"
"PE113016",-0.04,1.34,0.53,"Tmin","Available data",-75.0859611111111,-13.2593166666667,".5 - .6"
"PE113022",0.05,0.9,0.67,"Tmin","Available data",-74.0681111111111,-13.749,".6 - .7"
"PE113022",0.19,1.12,0.69,"Tmax","Available data",-74.0681111111111,-13.749,".6 - .7"
"PE113025",0.22,0.84,0.72,"Tmax","Available data",-73.3667777777778,-13.6486388888889,".7 - .8"
"PE113025",0.21,1.04,0.63,"Tmin","Available data",-73.3667777777778,-13.6486388888889,".6 - .7"
"PE113029",0.2,1.1,0.68,"Tmax","Available data",-72.7348888888889,-13.5526111111111,".6 - .7"
"PE113029",0.16,0.89,0.55,"Tmin","Available data",-72.7348888888889,-13.5526111111111,".5 - .6"
"PE113034",0.09,1.04,0.69,"Tmax","Available data",-72.1245555555556,-13.3051666666667,".6 - .7"
"PE113034",0.19,1.47,0.55,"Tmax","10-years data",-72.1245555555556,-13.3051666666667,".5 - .6"
"PE113034",0.07,1.1,0.63,"Tmin","Available data",-72.1245555555556,-13.3051666666667,".6 - .7"
"PE113034",0.06,1.39,0.53,"Tmin","10-years data",-72.1245555555556,-13.3051666666667,".5 - .6"
"PE113035",0.3,1.05,0.67,"Tmax","Available data",-72.2187611111111,-13.4724194444444,".6 - .7"
"PE113035",0.23,1.44,0.61,"Tmin","Available data",-72.2187611111111,-13.4724194444444,".6 - .7"
"PE113037",0.56,1.11,0.65,"Tmax","Available data",-71.8446944444444,-13.7669722222222,".6 - .7"
"PE113037",0.32,0.91,0.7,"Tmin","Available data",-71.8446944444444,-13.7669722222222,".7 - .8"
"PE113038",0.07,1.14,0.58,"Tmin","Available data",-71.6838888888889,-13.9216111111111,".5 - .6"
"PE113038",-0.05,1.01,0.66,"Tmax","Available data",-71.6838888888889,-13.9216111111111,".6 - .7"
"PE113041",-0.1,1.31,0.57,"Tmax","10-years data",-71.5601111111111,-13.6098888888889,".5 - .6"
"PE113041",-0.04,0.91,0.7,"Tmax","Available data",-71.5601111111111,-13.6098888888889,".7 - .8"
"PE113041",-0.03,1.39,0.6,"Tmin","Available data",-71.5601111111111,-13.6098888888889,".6 - .7"
"PE113041",0.32,1.81,0.48,"Tmin","10-years data",-71.5601111111111,-13.6098888888889,"< .5"
"PE113044",0.14,1.22,0.44,"Tmin","Available data",-70.4971388888889,-13.8038888888889,"< .5"
"PE113058",0.07,0.95,0.7,"Tmin","Available data",-75.7205222222222,-13.9997833333333,".7 - .8"
"PE113058",0.17,0.86,0.71,"Tmax","Available data",-75.7205222222222,-13.9997833333333,".7 - .8"
"PE113081",0.17,0.46,0.81,"Tmax","Available data",-75.7869694444444,-13.2105805555556,".8 - .9"
"PE113100",0.09,1.13,0.65,"Tmin","Available data",-73.9523888888889,-13.6688055555556,".6 - .7"
"PE113100",0.16,0.89,0.67,"Tmax","Available data",-73.9523888888889,-13.6688055555556,".6 - .7"
"PE113116",0.3,1.08,0.67,"Tmax","Available data",-71.6733611111111,-13.3631305555556,".6 - .7"
"PE113116",0.19,0.75,0.59,"Tmin","Available data",-71.6733611111111,-13.3631305555556,".5 - .6"
"PE113122",0.22,1.16,0.58,"Tmax","Available data",-71.7002777777778,-13.5999888888889,".5 - .6"
"PE113122",0.17,1.2,0.58,"Tmin","Available data",-71.7002777777778,-13.5999888888889,".5 - .6"
"PE113128",0.29,0.98,0.54,"Tmax","Available data",-75.3821222222222,-13.7904666666667,".5 - .6"
"PE113128",0.22,1.09,0.48,"Tmin","Available data",-75.3821222222222,-13.7904666666667,"< .5"
"PE114006",-0.07,1.38,0.6,"Tmin","Available data",-75.2130555555556,-14.526475,".6 - .7"
"PE114006",-0.04,0.83,0.67,"Tmax","Available data",-75.2130555555556,-14.526475,".6 - .7"
"PE114008",-0.02,1,0.67,"Tmin","Available data",-75.7110083333333,-14.0733083333333,".6 - .7"
"PE114008",-0.05,1.17,0.6,"Tmax","10-years data",-75.7110083333333,-14.0733083333333,".6 - .7"
"PE114008",0.08,0.96,0.67,"Tmax","Available data",-75.7110083333333,-14.0733083333333,".6 - .7"
"PE114008",-0.34,1.21,0.6,"Tmin","10-years data",-75.7110083333333,-14.0733083333333,".6 - .7"
"PE114018",-0.02,0.94,0.64,"Tmax","Available data",-74.8908194444445,-14.9750111111111,".6 - .7"
"PE114018",0.16,1.03,0.66,"Tmin","Available data",-74.8908194444445,-14.9750111111111,".6 - .7"
"PE114020",0.05,1.23,0.61,"Tmax","Available data",-75.6820833333333,-14.3784388888889,".6 - .7"
"PE114020",0.02,1.36,0.63,"Tmin","Available data",-75.6820833333333,-14.3784388888889,".6 - .7"
